year,paper_id,relative_pdf_path,puc_public_pdf_url,source_pdf_url
2000,wer200008,"artigos/artigos_WER00/santos.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER00/santos.pdf","https://werpapers.dimap.ufrn.br/papers/WER2000/santos.pdf"
2000,wer200009,"artigos/artigos_WER00/bortoli.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER00/bortoli.pdf","https://werpapers.dimap.ufrn.br/papers/WER2000/bortoli.pdf"
2000,wer200010,"artigos/artigos_WER00/toro.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER00/toro.pdf","https://werpapers.dimap.ufrn.br/papers/WER2000/toro.pdf"
2000,wer200011,"artigos/artigos_WER00/petersen.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER00/petersen.pdf","https://werpapers.dimap.ufrn.br/papers/WER2000/petersen.pdf"
2000,wer200012,"artigos/artigos_WER00/gil.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER00/gil.pdf","https://werpapers.dimap.ufrn.br/papers/WER2000/gil.pdf"
2000,wer200013,"artigos/artigos_WER00/kaplan.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER00/kaplan.pdf","https://werpapers.dimap.ufrn.br/papers/WER2000/kaplan.pdf"
2000,wer200014,"artigos/artigos_WER00/alencar.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER00/alencar.pdf","https://werpapers.dimap.ufrn.br/papers/WER2000/alencar.pdf"
2001,wer200101,"artigos/artigos_WER01/mannio.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/mannio.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/mannio.pdf"
2001,wer200102,"artigos/artigos_WER01/martins.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/martins.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/martins.pdf"
2001,wer200103,"artigos/artigos_WER01/carvalho2.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/carvalho2.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/carvalho2.pdf"
2001,wer200104,"artigos/artigos_WER01/baez.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/baez.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/baez.pdf"
2001,wer200105,"artigos/artigos_WER01/estrada.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/estrada.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/estrada.pdf"
2001,wer200106,"artigos/artigos_WER01/santander.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/santander.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/santander.pdf"
2001,wer200107,"artigos/artigos_WER01/leonardi.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/leonardi.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/leonardi.pdf"
2001,wer200108,"artigos/artigos_WER01/antonelli.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/antonelli.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/antonelli.pdf"
2001,wer200109,"artigos/artigos_WER01/alves.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/alves.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/alves.pdf"
2001,wer200110,"artigos/artigos_WER01/carvalho.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/carvalho.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/carvalho.pdf"
2001,wer200111,"artigos/artigos_WER01/zanlorenci.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/zanlorenci.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/zanlorenci.pdf"
2001,wer200112,"artigos/artigos_WER01/leite.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/leite.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/leite.pdf"
2001,wer200113,"artigos/artigos_WER01/martins2.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/martins2.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/martins2.pdf"
2001,wer200114,"artigos/artigos_WER01/penades.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/penades.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/penades.pdf"
2001,wer200115,"artigos/artigos_WER01/duran.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/duran.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/duran.pdf"
2001,wer200116,"artigos/artigos_WER01/ruiz.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/ruiz.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/ruiz.pdf"
2001,wer200117,"artigos/artigos_WER01/iribarne.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/iribarne.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/iribarne.pdf"
2001,wer200118,"artigos/artigos_WER01/cysneiros.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/cysneiros.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/cysneiros.pdf"
2001,wer200119,"artigos/artigos_WER01/ridao.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/ridao.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/ridao.pdf"
2001,wer200120,"artigos/artigos_WER01/fook.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER01/fook.pdf","https://werpapers.dimap.ufrn.br/papers/WER2001/fook.pdf"
2002,wer200201,"artigos/artigos_WER02/martins.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/martins.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/martins.pdf"
2002,wer200202,"artigos/artigos_WER02/antonelli.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/antonelli.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/antonelli.pdf"
2002,wer200203,"artigos/artigos_WER02/doorn.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/doorn.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/doorn.pdf"
2002,wer200204,"artigos/artigos_WER02/ridao.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/ridao.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/ridao.pdf"
2002,wer200205,"artigos/artigos_WER02/alencar.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/alencar.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/alencar.pdf"
2002,wer200206,"artigos/artigos_WER02/bolchini.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/bolchini.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/bolchini.pdf"
2002,wer200207,"artigos/artigos_WER02/silva.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/silva.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/silva.pdf"
2002,wer200208,"artigos/artigos_WER02/estrada.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/estrada.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/estrada.pdf"
2002,wer200209,"artigos/artigos_WER02/toranzo.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/toranzo.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/toranzo.pdf"
2002,wer200210,"artigos/artigos_WER02/anaya.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/anaya.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/anaya.pdf"
2002,wer200211,"artigos/artigos_WER02/alonson.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/alonson.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/alonson.pdf"
2002,wer200212,"artigos/artigos_WER02/togneri.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/togneri.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/togneri.pdf"
2002,wer200213,"artigos/artigos_WER02/martins2.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/martins2.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/martins2.pdf"
2002,wer200214,"artigos/artigos_WER02/botella.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/botella.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/botella.pdf"
